program_id,university_id,verified_fields,evidence_status,source_urls,verified_at,evidence_note
prog_my_091,uni_my_031,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE,https://www.apu.edu.my/course/bsc-hons-in-computer-science,2026-08-21,"Current page verifies 3 years, full-time, September/November 2026 intakes, IELTS 5.0, TOEFL 40 and RM108,500 international tuition."
prog_my_092,uni_my_031,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE,https://apu.edu.my/course/bsc-hons-in-computer-science-cyber-security,2026-08-21,"Current programme page verifies duration, mode, 2026 intakes, English requirements and RM108,500 international tuition."
prog_my_093,uni_my_031,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE,https://www.apu.edu.my/course/bsc-hons-in-computer-science-ai,2026-08-21,"Current programme page verifies 3 years, full-time, 2026 intakes, IELTS 5.0, TOEFL 40 and RM108,500 international tuition."
prog_my_094,uni_my_032,duration_years,VERIFIED_CURRENT_DURATION_ONLY,https://www.msu.edu.my/faculty-information-sciences-engineering/bachelor-computer-science.php,2026-08-21,Current programme page verifies 3 years. International fee is not published as an exact value; English is MUET/CEFR based.
prog_my_095,uni_my_032,duration_years,VERIFIED_CURRENT_DURATION_ONLY,https://www.msu.edu.my/faculty-information-sciences-engineering/bachelor-information-technology,2026-08-21,Current official programme page verifies 3-year duration. International fee and numeric IELTS/TOEFL were not inferred.
prog_my_096,uni_my_032,duration_years,VERIFIED_CURRENT_DURATION_ONLY,https://www.msu.edu.my/faculty-information-sciences-engineering/information-system-business-computing,2026-08-21,Current page verifies 3-year duration. Local fee range was not stored as international tuition.
prog_my_097,uni_my_033,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;intake,VERIFIED_CURRENT_DETAIL_AND_INTERNATIONAL_FEE,https://www.unikl.edu.my/programme/bachelor-of-information-technology-hons-in-software-engineering/,2026-08-21,"Current page verifies 3 years, full-time, March/October, IELTS 5.0 and RM70,399 international tuition."
prog_my_098,uni_my_033,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;intake,VERIFIED_CURRENT_DETAIL_AND_INTERNATIONAL_FEE,https://www.unikl.edu.my/programme/bachelor-of-information-technology-hons-in-computer-system-security/,2026-08-21,"Current page verifies full-time 3-year structure, March/October intake, IELTS 5.0 and RM70,399 international tuition."
prog_my_099,uni_my_033,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;intake,VERIFIED_CURRENT_DETAIL_AND_INTERNATIONAL_FEE,https://www.unikl.edu.my/programme/bachelor-of-artificial-intelligence-technology-with-honours/,2026-08-21,"Current page verifies 3 years, full-time, March/October, IELTS 5.0 and RM115,200 international tuition."
prog_my_100,uni_my_034,duration_years;ielts_requirement;toefl_requirement;intake,VERIFIED_CURRENT_2026_DURATION_INTAKE_ENGLISH,https://university.help.edu.my/wp-content/uploads/2026/04/InformationTechnology_1APRL26.pdf | https://university.help.edu.my/wp-content/uploads/2026/01/FCDT-Programmes-Handbook_Aug2025_ABM-v4.pdf,2026-08-21,2026 programme material verifies 3-year duration and January/May/August intakes. Official computing handbook provides IELTS 5.0 and TOEFL iBT 35.
prog_my_101,uni_my_034,duration_years;ielts_requirement;toefl_requirement;intake,VERIFIED_CURRENT_2026_DURATION_INTAKE_ENGLISH,https://university.help.edu.my/wp-content/uploads/2026/04/InformationTechnology_1APRL26.pdf | https://university.help.edu.my/wp-content/uploads/2026/01/FCDT-Programmes-Handbook_Aug2025_ABM-v4.pdf,2026-08-21,Current 2026 material verifies 3 years and January/May/August intakes. Official handbook provides IELTS 5.0 / TOEFL iBT 35.
prog_my_102,uni_my_034,duration_years;ielts_requirement;intake,VERIFIED_CURRENT_2026_DURATION_INTAKE_ENGLISH,https://university.help.edu.my/wp-content/uploads/2026/04/Business_13APRL26.pdf | https://university.help.edu.my/programme/bachelor-of-business-analytics/,2026-08-21,2026 business material verifies 3 years and current intakes. Official programme page states IELTS 5.5 for international students.
prog_my_103,uni_my_035,duration_years;intake,VERIFIED_CURRENT_MULTI_MODE_INTAKE_DURATION,https://university.segi.edu.my/?course=bachelor-of-computer-science-hons,2026-08-21,"Current page verifies 3-year programme and 2026 January/May/September intakes. Full-Time and Weekend modes both exist, so study_mode was not collapsed."
prog_my_104,uni_my_035,intake,VERIFIED_CURRENT_MULTI_MODE_INTAKE_ONLY,https://university.segi.edu.my/course/bachelor-of-information-technology-hons/,2026-08-21,Current page verifies January/May/September 2026 intakes for Full-Time and Weekend modes. Mode and duration were not inferred.
prog_my_105,uni_my_035,duration_years,VERIFIED_RECENT_BROCHURE_DURATION_FRESHNESS_LIMITATION,https://university.segi.edu.my/course/msc-in-information-technology-coursework/ | https://university.segi.edu.my/wp-content/uploads/sites/3/2025/09/Postgraduate-Studies.pdf,2026-08-21,Current identity is active. Recent official postgraduate matrix states one-year coursework duration. Freshness remains unknown because the exact duration evidence is 2025 material.
