reserved_program_id,university_id,program_slot,status,reason,evidence_note
prog_mm_046,uni_mm_016,1,DEFERRED,Exact current programme title was not sufficiently verified from an accessible current first-party programme-level page.,"The current official university website confirms Meiktila University of Economics as an active institution, but the accessible official page does not expose sufficient current programme-level degree information for this slot."
prog_mm_047,uni_mm_016,2,DEFERRED,Second exact current programme identity not verified to EduPath first-party programme-level source standard.,"Historical and third-party references mention economics and business degrees, but they are not promoted into the canonical dataset without sufficient current first-party programme evidence."
prog_mm_048,uni_mm_016,3,DEFERRED,Third programme slot remains reserved for future official verification.,"No exact programme title, duration or degree metadata is fabricated from historical or third-party sources."
prog_mm_052,uni_mm_018,1,DEFERRED,Current Ministry source confirms the institution but does not expose an exact current programme identity.,"University of West Yangon has a current Ministry of Education entry, but the accessible page provides institutional activity rather than programme-level degree titles."
prog_mm_053,uni_mm_018,2,DEFERRED,Second current degree identity not verified from a sufficient first-party programme-level source.,No degree title is inferred solely from general knowledge of university departments or disciplines.
prog_mm_054,uni_mm_018,3,DEFERRED,Third programme slot remains reserved.,External or historical listings are not treated as sufficient evidence for a current programme record.
prog_mm_055,uni_mm_019,1,DEFERRED,Exact current programme identity was not sufficiently exposed by the current first-party Ministry page.,The Ministry of Education currently lists Bago University but does not provide enough programme-level degree information for this collection pass.
prog_mm_056,uni_mm_019,2,DEFERRED,Second exact current programme identity could not be verified to EduPath's first-party programme standard.,Department or research references are not converted into degree programme identities.
prog_mm_057,uni_mm_019,3,DEFERRED,Third programme slot remains reserved for future first-party verification.,No programme name is fabricated.
prog_mm_058,uni_mm_020,1,DEFERRED,Current Ministry source confirms Dawei University but does not provide sufficient exact programme-level degree information.,"Current Ministry institutional records are retained as evidence of the university, not as proof of a specific degree programme."
prog_mm_059,uni_mm_020,2,DEFERRED,Second exact current programme title not verified to EduPath source standard.,"Research publications may identify academic departments, but department existence alone is not treated as programme-level verification."
prog_mm_060,uni_mm_020,3,DEFERRED,Third slot remains reserved until an appropriate official programme source can be verified.,No degree identity is fabricated.
