program_id,university_id,verified_fields,evidence_status,source_urls,verified_at,evidence_note
prog_my_076,uni_my_026,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_2026_FEE,https://www.uniten.edu.my/all-programmes/college-of-computing-informatics-cci/bachelor-in-computer-science-artificial-intelligence-honours,2026-08-21,"Current programme page verifies 3-year full-time study, January/June/September intakes and RM82,500 international tuition."
prog_my_077,uni_my_026,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_2026_FEE,https://www.uniten.edu.my/all-programmes/college-of-computing-informatics-cci/bachelor-in-computer-science-cyber-security-honours,2026-08-21,"Current programme page verifies 3-year full-time study, intakes and RM82,500 international tuition."
prog_my_078,uni_my_026,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_2026_FEE,https://www.uniten.edu.my/all-programmes/college-of-computing-informatics-cci/bachelor-in-software-engineering-honours,2026-08-21,"Current programme page verifies 3-year full-time study, intakes and RM82,500 international tuition."
prog_my_079,uni_my_027,tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake;application_deadline,VERIFIED_CURRENT_MULTI_MODE_FEE,https://inceif.edu.my/study-inceif-university/master-programmes/masters-in-islamic-finance-practice-mifp/,2026-08-21,Current total international fee and 2026/2027 deadlines verified. Full-time/part-time duration ranges were not reduced to one duration_years value.
prog_my_080,uni_my_027,tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake;application_deadline,VERIFIED_CURRENT_MULTI_MODE_FEE,https://inceif.edu.my/study-inceif-university/master-programmes/masters-of-science-in-islamic-finance-by-coursework-msc/,2026-08-21,Current fee and intake deadlines verified. Multi-mode duration was not normalized.
prog_my_081,uni_my_027,tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake;application_deadline,VERIFIED_CURRENT_MULTI_MODE_FEE,https://inceif.edu.my/study-inceif-university/master-programmes/master-in-business-administration-sustainable-business-mba/,2026-08-21,Current international fee and January 2027 international deadline verified. Multi-mode duration was not normalized.
prog_my_082,uni_my_028,duration_years;study_mode;language_of_instruction;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_STANDARD_INTERNATIONAL_FULL_TIME,https://study.utar.edu.my/computer-science.php,2026-08-21,Current official page explicitly separates 3-year full-time and restricted 6-year part-time routes. Standard international full-time route was stored.
prog_my_083,uni_my_028,duration_years;study_mode;language_of_instruction;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_DETAIL_AND_FEE,https://study.utar.edu.my/documents/250716_Software_Engineering_EN.pdf,2026-08-21,"Current UTAR material verifies 3-year full-time study, English medium, intakes and RM75,500 international programme fee."
prog_my_084,uni_my_028,duration_years;study_mode;language_of_instruction;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake,VERIFIED_CURRENT_DETAIL_AND_FEE,https://study.utar.edu.my/communications-networking.php,2026-08-21,"Current official page verifies 3-year full-time study, English medium, intakes and RM77,000 estimated international fee."
prog_my_085,uni_my_029,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE_WITH_TOEFL_SCALE_LIMIT,https://www.monash.edu.my/study/undergraduate/information-technology/bachelor-computer-science | https://www.monash.edu.my/study/entry-requirements/english/tests,2026-08-21,"2026 duration, international full-time route, fee, intake and IELTS verified. New TOEFL scale was not written into legacy TOEFL field."
prog_my_086,uni_my_029,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE_WITH_TOEFL_SCALE_LIMIT,https://www.monash.edu.my/study/undergraduate/information-technology/bachelor-of-computer-science-in-data-science | https://www.monash.edu.my/study/entry-requirements/english/tests,2026-08-21,"Current 2026 duration, annual fee, intake and IELTS verified. New TOEFL scale was not mixed with legacy integer scores."
prog_my_087,uni_my_029,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE_WITH_TOEFL_SCALE_LIMIT,https://www.monash.edu.my/study/undergraduate/information-technology/bachelor-of-computer-science-in-artificial-intelligence | https://www.monash.edu.my/study/entry-requirements/english/tests,2026-08-21,"Current 2026 duration, full-time route, annual tuition, intakes and IELTS verified."
prog_my_088,uni_my_030,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;intake,VERIFIED_CURRENT_2026_DETAIL_FEE_WITH_TOEFL_SCALE_LIMIT,https://www.nottingham.edu.my/ugstudy/course/computer-science-bsc-hons,2026-08-21,"Current 2026 page verifies 3-year full-time study, IELTS 6.0 and RM57,000/year international tuition. New TOEFL scale was not stored."
