program_id,university_id,verified_fields,evidence_status,source_urls,verified_at,evidence_note
prog_my_001,uni_my_001,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED,https://study.um.edu.my/bachelor-of-computer-science-software-engineering,2026-08-20,Current UM page updated June 2026.
prog_my_002,uni_my_001,duration_years;study_mode;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED,https://study.um.edu.my/bachelor-of-computer-science-computer-system-and-network,2026-08-20,Current UM page updated June 2026.
prog_my_003,uni_my_001,duration_years;study_mode;intake,REVIEW_INTERNATIONAL_ELIGIBILITY,https://study.um.edu.my/bachelor-of-computer-science-data-science,2026-08-20,International tuition shown as Not Available and English requirement N/A.
prog_my_004,uni_my_002,duration_years;study_mode;language_of_instruction;intake;application_deadline,VERIFIED,https://www.ukm.my/studyukm/computer-science-bachelors-hons/ | https://ftsm.ukm.my/v6/undergraduate | https://www.ukm.my/studyukm/undergraduate-postgraduate-flexed/,2026-08-20,Duration/intake from StudyUKM; medium from FTSM; 2026 deadline from UKMShape.
prog_my_005,uni_my_002,duration_years;study_mode;language_of_instruction;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake;application_deadline,VERIFIED,https://www.ukm.my/studyukm/information-technology-bachelors-hons/ | https://www.ukm.my/studyukm/bachelor-of-information-technology-with-honours/ | https://ftsm.ukm.my/v6/undergraduate | https://www.ukm.my/studyukm/undergraduate-postgraduate-flexed/,2026-08-20,Current official UKM programme and fee evidence.
prog_my_006,uni_my_002,duration_years;study_mode;language_of_instruction;tuition_fee;tuition_currency;tuition_period;tuition_student_scope;tuition_source_url;tuition_last_verified_at;intake;application_deadline,VERIFIED,https://www.ukm.my/studyukm/information-system-bachelor-of-software-engineering-hons/ | https://www.ukm.my/studyukm/bachelor-of-software-engineering-with-honours-information-system-development/ | https://ftsm.ukm.my/v6/undergraduate | https://www.ukm.my/studyukm/undergraduate-postgraduate-flexed/,2026-08-20,Current official UKM programme and fee evidence.
prog_my_007,uni_my_003,duration_years;language_of_instruction;ielts_requirement,VERIFIED_WITH_FRESHNESS_LIMITATION,https://fsktm.upm.edu.my/upload/dokumen/20250917100701Buku_Panduan_Program_Prasiswazah_-_Sesi_2024.2025_%28Terkini_04.10.2024_with_Front_Cover%29.pdf | https://akademik.upm.edu.my/upload/dokumen/20200312120227ENGLISH_LANGUAGE_REQUIREMENT_1.pdf,2026-08-20,"Duration, English medium and IELTS verified. TOEFL not populated because official UPM sources show 59 versus 60."
prog_my_008,uni_my_003,duration_years;language_of_instruction;ielts_requirement,VERIFIED_WITH_FRESHNESS_LIMITATION,https://fsktm.upm.edu.my/upload/dokumen/20250917100701Buku_Panduan_Program_Prasiswazah_-_Sesi_2024.2025_%28Terkini_04.10.2024_with_Front_Cover%29.pdf | https://akademik.upm.edu.my/upload/dokumen/20200312120227ENGLISH_LANGUAGE_REQUIREMENT_1.pdf,2026-08-20,"Duration, English medium and IELTS verified. TOEFL intentionally blank."
prog_my_009,uni_my_003,duration_years;language_of_instruction;ielts_requirement,VERIFIED_WITH_FRESHNESS_LIMITATION,https://fsktm.upm.edu.my/upload/dokumen/20250917100701Buku_Panduan_Program_Prasiswazah_-_Sesi_2024.2025_%28Terkini_04.10.2024_with_Front_Cover%29.pdf | https://akademik.upm.edu.my/upload/dokumen/20200312120227ENGLISH_LANGUAGE_REQUIREMENT_1.pdf,2026-08-20,"Duration, English medium and IELTS verified. TOEFL intentionally blank."
prog_my_010,uni_my_004,duration_years;language_of_instruction;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-software-engineering-with-honours | https://admission.usm.my/index.php/undergraduate/undergraduate-international,2026-08-20,Current USM programme and international admission evidence.
prog_my_011,uni_my_004,duration_years;language_of_instruction;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-computer-science-intelligent-computing-with-honours | https://admission.usm.my/index.php/undergraduate/undergraduate-international,2026-08-20,Current USM programme and international admission evidence.
prog_my_012,uni_my_004,duration_years;language_of_instruction;tuition_fee;tuition_currency;tuition_period;tuition_academic_year;tuition_student_scope;tuition_source_url;tuition_last_verified_at;ielts_requirement;toefl_requirement;intake,VERIFIED,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-computer-science-computing-infrastructure-with-honours | https://admission.usm.my/index.php/undergraduate/undergraduate-international,2026-08-20,Current USM programme and international admission evidence.
prog_my_013,uni_my_005,duration_years;study_mode;ielts_requirement;toefl_requirement;intake;application_deadline,VERIFIED,https://comp.utm.my/bachelor-in-software-engineering-w-honours/ | https://admission.utm.my/english-language-requirements-3/ | https://admission.utm.my/apply-now/,2026-08-20,"Current programme, English and September 2026 application evidence. Tuition withheld due official-source conflict."
prog_my_014,uni_my_005,duration_years;study_mode;ielts_requirement;toefl_requirement;intake;application_deadline,VERIFIED_WITH_LEGACY_DETAIL_SOURCE,https://comp.utm.my/old/secr/ | https://comp.utm.my/undergraduate/ | https://admission.utm.my/english-language-requirements-3/ | https://admission.utm.my/apply-now/,2026-08-20,"Programme is current, but exact duration/mode details are on an official legacy page; freshness remains unknown."
prog_my_015,uni_my_005,duration_years;study_mode;ielts_requirement;toefl_requirement;intake;application_deadline,VERIFIED,https://comp.utm.my/secvh/ | https://admission.utm.my/english-language-requirements-3/ | https://admission.utm.my/apply-now/,2026-08-20,Current programme and 2026 admission evidence. Tuition withheld due official-source conflict.
