country_id,country_name,country_code,ror_id,university_name,city,establishment_year,official_website,ror_last_modified,collected_at,candidate_status
country_jp,Japan,JP,https://ror.org/024yc3q36,Tottori University,Tottori-shi,1949,http://www.tottori-u.ac.jp/english/,2026-03-31,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/00wwj8r66,Yamato University,Suita,2014,http://www.yamato-u.ac.jp/index_e.html,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/02cntp233,Daido University,Nagoya,1939,http://www.daido-it.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/022b6b871,Jobu University,Isesaki,1950,http://www.jobu.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/05q041y44,Kokugakuin University,Tokyo,1882,https://www.kokugakuin.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/05tjaf288,Komazawa University,Tokyo,1592,https://www.komazawa-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03wkbyb17,Morioka University,Takizawa,1981,http://www.morioka-u.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03a42q045,Nara University,Nara,1969,http://www.nara-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03jzxkg37,Senshu University,Tokyo,1880,http://www.senshu-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/05qh38f12,Takushoku University,Tokyo,1900,https://www.takushoku-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/00d440w27,Tenri University,Tenri,1925,http://www.tenri-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03jeahd70,Shikoku University,Tokushima,1925,https://www.shikoku-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/053h75930,Bunkyo University,Tokyo,1927,http://www.bunkyo.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03x1wer98,Kaetsu University,Tokyo,2001,http://www.kaetsu.ac.jp/english/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/027dkjg03,Keisen University,Tokyo,1988,http://www.keisen.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/0496p0503,Rissho University,Tokyo,1580,http://www.ris.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/04q5p4a74,Seisen University,Tokyo,1938,https://www.seisen-u.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/021anqv82,Shirayuri University,Tokyo,1881,https://www.shirayuri.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/00c2t9540,Taisho University,Tokyo,1885,https://www.tais.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/00dwyn417,Takachiho University,Tokyo,1903,https://www.takachiho.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/0172hvg27,Aichi University,Toyohashi,1946,http://www.aichi-u.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/0036qse20,Ohkagakuen University,Toyota,1903,https://www.ohkagakuen-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/01wz7zs96,Mimasaka University,Tsuyama,1915,https://mimasaka.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03aptyv62,Nagano University,Ueda,1966,https://www.nagano.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03yz74e78,Shiseikan University,Yamaguchi,1967,http://www.shiseikan.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/04mdddd78,Minobusan University,Yamanashi,1556,http://www.min.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/0556naa44,Yokkaichi University,Yokkaichi,1946,https://www.yokkaichi-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/0314zyy82,Ferris University,Yokohama,1870,https://www.ferris.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/04p9zgs78,Seigakuin University,Ageo,1988,https://www.seigakuin.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/0085wxm22,Seijoh University,Okazaki,1941,http://www.seijoh-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03vgqy581,Asahikawa University,Asahikawa,1898,http://www.asahikawa-u.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/043223922,Aino University,Takatsuki,2004,http://www.aino.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/03b657f73,Kio University,Kōryō Chō,1946,http://www.kio.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/05m1gnk07,Korea University,Tokyo,1956,https://www.korea-u.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/038sdcw17,Cyber University,Fukuoka,2007,https://www.cyber-u.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/048j6n969,Shubun University,Ichinomiya,2008,https://www.shubun.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/00zxty319,Naragakuen University,Nara,1984,http://www.naragakuen-u.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/01sbmsw53,Saku University,Saku,2008,https://www.saku.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/02rcadd38,Nagaoka University,Nagaoka,1973,https://www.nagaokauniv.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/04w7k2121,University of Fukuchiyama,Fukuchiyama,2000,https://www.fukuchiyama.ac.jp,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/04ke9yr06,Seisa University,Ashibetsu,1985,http://www.seisa.ac.jp/,2024-12-11,2026-08-09,To Review
country_jp,Japan,JP,https://ror.org/0330rc745,Ashikaga University,Ashikaga,1967,http://www.ashitech.ac.jp/,2024-12-11,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/01s57k749,Singapore University of Social Sciences,Singapore,2005,https://www.suss.edu.sg,2025-02-26,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/00mbfhq81,Newcastle University Singapore,Singapore,2007,http://www.ncl.ac.uk/singapore/,2024-12-11,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/050qmg959,Singapore Management University,Singapore,2000,https://www.smu.edu.sg,2026-06-02,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/02e7b5302,Nanyang Technological University,Singapore,1991,https://www.ntu.edu.sg,2025-11-24,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/01tgyzw49,National University of Singapore,Singapore,1905,http://www.nus.edu.sg/,2026-07-20,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/025yypj46,"National University Cancer Institute, Singapore",Singapore,2008,https://www.ncis.com.sg,2024-12-11,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/05tjjsh18,National University Health System,Singapore,2008,http://www.nuhs.edu.sg/#,2024-12-11,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/05jzgzx91,University of Glasgow Singapore,Singapore,2011,https://www.gla.ac.uk/study/singapore/,2024-12-11,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/01y5z8p89,James Cook University Singapore,Singapore,2003,https://www.jcu.edu.sg/,2024-12-11,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/03evaaw16,University of Wales Institute Cardiff,Singapore,,,2024-12-11,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/05j6fvn87,Singapore University of Technology and Design,Singapore,2009,https://www.sutd.edu.sg,2026-06-02,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/021gztm71,NUS High School of Mathematics and Science,Singapore,2005,https://www.nushigh.edu.sg,2024-12-11,2026-08-09,To Review
country_sg,Singapore,SG,https://ror.org/02j1m6098,Duke-NUS Medical School,Singapore,2005,https://www.duke-nus.edu.sg/,2024-12-11,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/00p43ne90,Mahsa University,Kuala Lumpur,2005,http://www.mahsa.edu.my/,2024-12-11,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/037zqsm37,Nilai University,Kampung Baharu Nilai,1997,https://www.nilai.edu.my/,2024-12-11,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/05crr5s63,SEGi University,Petaling Jaya,1977,https://segi.edu.my,2024-12-11,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/00wfd0g93,Perdana University,Kota Kinabalu,2011,https://www.perdanauniversity.edu.my,2026-07-20,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/04mjt7f73,Sunway University,Petaling Jaya,2004,https://sunwayuniversity.edu.my,2024-12-11,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/007gerq75,AIMST University,Bedong,2001,https://aimst.edu.my,2024-12-11,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/05njtdr40,MILA University,Kampung Baharu Nilai,,https://miu.edu.my,2024-12-11,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/00kb5s826,GlobalNxt University,Kuala Lumpur,2001,https://www.globalnxt.edu.my,2026-01-29,2026-08-09,To Review
country_my,Malaysia,MY,https://ror.org/04d4wjw61,IMU University,Kuala Lumpur,1992,https://imu.edu.my,2026-02-24,2026-08-09,To Review
