program_id,country_id,university_id,university_name,program_slot,program_name,degree_level,field_of_study,program_url,identity_verified_at,verification_status,research_notes
prog_my_106,country_my,uni_my_036,INTI International University,1,Bachelor of Technology (Honours) Data Science,Bachelor,Data Science,https://newinti.edu.my/programme/bachelor-of-technology-honours-data-science/,2026-08-20,Verified,"Current official INTI individual programme page; programme duration, curriculum and current fee information are available."
prog_my_107,country_my,uni_my_036,INTI International University,2,Bachelor of Computer Science (Hons) major in Software Development,Bachelor,Software Development,https://newinti.edu.my/programme/bachelor-of-computer-science-hons-in-software-development-coventry-uk/,2026-08-20,Verified,Current official INTI individual programme page with active programme structure.
prog_my_108,country_my,uni_my_036,INTI International University,3,Bachelor of Information Technology (Hons),Bachelor,Information Technology,https://newinti.edu.my/programme/bachelor-of-information-technology-hons-coventry-uk/,2026-08-20,Verified,Current official INTI programme page; international-student requirements and fees are explicitly represented.
prog_my_109,country_my,uni_my_037,AIMST University,1,Bachelor of Computer Science,Bachelor,Computer Science,https://aimst.edu.my/academic/bachelor-of-computer-science/,2026-08-20,Verified,Current official AIMST individual programme page and current academic listing.
prog_my_110,country_my,uni_my_037,AIMST University,2,Bachelor in Information Systems (Data Analytics) (Honours),Bachelor,Information Systems and Data Analytics,https://aimst.edu.my/academic/bachelor-in-information-systems-data-analyticshonours/,2026-08-20,Verified,Current official AIMST programme page; also represented on the 2026 intake calendar.
prog_my_111,country_my,uni_my_037,AIMST University,3,Bachelor in Software Engineering (Honours),Bachelor,Software Engineering,https://aimst.edu.my/academic/bachelor-in-software-engineering-honours/,2026-08-20,Verified,Current official AIMST individual programme page; also present in current academic and 2026 intake information.
prog_my_112,country_my,uni_my_038,Open University Malaysia,1,Master of Information Technology,Master,Information Technology,https://www.oum.edu.my/programmes-offered-at-oum/postgraduate/master-of-information-technology/,2026-08-20,Verified,Current OUM Faculty and International Admission listings confirm the programme. Do not infer field-level freshness later solely from this identity verification.
prog_my_113,country_my,uni_my_038,Open University Malaysia,2,Master in Data Science,Master,Data Science,https://www.oum.edu.my/programmes-offered-at-oum/postgraduate/master-in-data-science/,2026-08-20,Verified,"Current OUM Faculty, postgraduate and International Admission listings confirm this programme for international learners."
prog_my_114,country_my,uni_my_038,Open University Malaysia,3,Doctor of Philosophy (Information Technology),Doctorate,Information Technology,https://www.oum.edu.my/programmes-offered-at-oum/postgraduate/doctor-of-philosophy-information-technology/,2026-08-20,Verified,"Current OUM postgraduate, Faculty and International Admission listings confirm the programme. Older detail-page update dates must not be treated as current field-level verification later."
prog_my_115,country_my,uni_my_039,MAHSA University,1,Bachelor of Information Technology (Honours),Bachelor,Information Technology,https://www.mahsa.edu.my/faculties/Engineering/bachelor-information-technology.php,2026-08-20,Verified,Current official MAHSA individual programme page and current undergraduate listing.
prog_my_116,country_my,uni_my_039,MAHSA University,2,Bachelor of Arts (Honours) in Creative Multimedia Design,Bachelor,Creative Multimedia Design,https://mahsa.edu.my/faculties/Engineering/bachelor-arts-hons-creative-multimedia-design.php,2026-08-20,Verified,Current official MAHSA individual and undergraduate programme pages.
prog_my_117,country_my,uni_my_039,MAHSA University,3,Master in Information Technology,Master,Information Technology,https://mahsa.edu.my/faculties/programmes/postgraduate-programmes.php,2026-08-20,Verified,Exact identity verified on current official MAHSA postgraduate and Faculty programme listings.
prog_my_118,country_my,uni_my_040,IMU University,1,Bachelor in Digital Health (Hons) (IMU),Bachelor,Digital Health,https://imu.edu.my/academics/undergraduate/digital-health/,2026-08-20,Verified,Current official IMU undergraduate page and 2026 Digital Health material confirm the active programme.
prog_my_119,country_my,uni_my_040,IMU University,2,Bachelor in Business Analytics (Honours) (IMU),Bachelor,Business Analytics,https://imu.edu.my/academics/undergraduate/business-analytics/,2026-08-20,Verified,Current official IMU programme page; programme has a September 2026 intake.
prog_my_120,country_my,uni_my_040,IMU University,3,Bachelor of Business Administration with Healthcare Management (Honours) (IMU),Bachelor,Business Administration and Healthcare Management,https://imu.edu.my/academics/undergraduate/business-administration-with-healthcare-management/,2026-08-20,Verified,Current official IMU undergraduate page and 2026 programme information confirm the active degree.
