country_id,university_id,university_name,city,official_website,program_slot,program_name,degree_level,official_program_url,collection_status,verification_status,research_notes
country_bn,uni_bn_001,Universiti Brunei Darussalam,Bandar Seri Begawan,https://ubd.edu.bn/,1,,,,Pending Collection,Not Verified,
country_bn,uni_bn_001,Universiti Brunei Darussalam,Bandar Seri Begawan,https://ubd.edu.bn/,2,,,,Pending Collection,Not Verified,
country_bn,uni_bn_001,Universiti Brunei Darussalam,Bandar Seri Begawan,https://ubd.edu.bn/,3,,,,Pending Collection,Not Verified,
country_bn,uni_bn_002,Universiti Teknologi Brunei,Gadong,https://www.utb.edu.bn/,1,,,,Pending Collection,Not Verified,
country_bn,uni_bn_002,Universiti Teknologi Brunei,Gadong,https://www.utb.edu.bn/,2,,,,Pending Collection,Not Verified,
country_bn,uni_bn_002,Universiti Teknologi Brunei,Gadong,https://www.utb.edu.bn/,3,,,,Pending Collection,Not Verified,
country_bn,uni_bn_003,Universiti Islam Sultan Sharif Ali,Bandar Seri Begawan,https://unissa.edu.bn/,1,,,,Pending Collection,Not Verified,
country_bn,uni_bn_003,Universiti Islam Sultan Sharif Ali,Bandar Seri Begawan,https://unissa.edu.bn/,2,,,,Pending Collection,Not Verified,
country_bn,uni_bn_003,Universiti Islam Sultan Sharif Ali,Bandar Seri Begawan,https://unissa.edu.bn/,3,,,,Pending Collection,Not Verified,
country_bn,uni_bn_004,Kolej Universiti Perguruan Ugama Seri Begawan,Bandar Seri Begawan,https://www.kupu-sb.edu.bn/,1,,,,Pending Collection,Not Verified,
country_bn,uni_bn_004,Kolej Universiti Perguruan Ugama Seri Begawan,Bandar Seri Begawan,https://www.kupu-sb.edu.bn/,2,,,,Pending Collection,Not Verified,
country_bn,uni_bn_004,Kolej Universiti Perguruan Ugama Seri Begawan,Bandar Seri Begawan,https://www.kupu-sb.edu.bn/,3,,,,Pending Collection,Not Verified,
