program_id,university_id,program_slot,program_name,field_of_study,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_kh_034,uni_kh_012,1,Bachelor of Science in Artificial Intelligence,Artificial Intelligence,Bachelor,https://www.aupp.edu.kh/faculty-of-digital-technologies/bachelor-of-science-in-ai/,Identity Collected,Current First-Party Programme Verified,AUPP current official programme page explicitly identifies the Bachelor of Science in Artificial Intelligence.
prog_kh_035,uni_kh_012,2,Bachelor of Arts in International Relations and Diplomacy,International Relations and Diplomacy,Bachelor,https://www.aupp.edu.kh/faculty-of-social-sciences/bachelor-of-arts-in-international-relations-and-diplomacy/bachelor-of-arts-in-international-relations-and-diplomacy-single-degree/,Identity Collected,Current First-Party Programme Verified,AUPP official single-degree programme page confirms Bachelor of Arts in International Relations and Diplomacy.
prog_kh_036,uni_kh_012,3,Bachelor of Arts in Law,Law,Bachelor,https://www.aupp.edu.kh/faculty-of-law/bachelor-of-arts-in-law/law-single-degree/,Identity Collected,Current First-Party Programme Verified,AUPP official programme page confirms the Bachelor of Arts in Law single-degree programme.
prog_kh_037,uni_kh_013,1,Bachelor of Science in Computer Science,Computer Science,Bachelor,https://www.puc.edu.kh/majors/undergraduate-program/computer-science-b-sc-in-cs/,Identity Collected,Current First-Party Programme Verified,PUC current official programme page identifies Computer Science (B.Sc. in CS) as a Bachelor degree.
prog_kh_038,uni_kh_013,2,Bachelor of Science in Cybersecurity,Cybersecurity,Bachelor,https://www.puc.edu.kh/majors/undergraduate-program/cybersecurity-b-sc-in-cyber/,Identity Collected,Current First-Party Programme Verified,PUC current official Cybersecurity page identifies B.Sc. in Cybersecurity as a Bachelor degree.
prog_kh_039,uni_kh_013,3,Bachelor of Arts in International Relations,International Relations,Bachelor,https://www.puc.edu.kh/majors/undergraduate-program/international-relations-ba-in-international-relations/,Identity Collected,Current First-Party Programme Verified,PUC current official International Relations page explicitly identifies BA in International Relations.
prog_kh_040,uni_kh_014,1,Computer Science,Computer Science,Bachelor,https://cost.uc.edu.kh/ucs-Service-5-12,Identity Collected,Current First-Party Degree Offering Verified,University of Cambodia College of Science and Technology currently lists Computer Science among its degree offerings. The programme name is preserved without inventing an unsupported award wording.
prog_kh_041,uni_kh_014,2,Information Technology,Information Technology,Bachelor,https://cost.uc.edu.kh/ucs-Service-5-12,Identity Collected,Current First-Party Degree Offering Verified,University of Cambodia current College of Science and Technology page lists Information Technology among its Bachelor-level degree offerings.
prog_kh_042,uni_kh_014,3,Electronics and Telecommunications,Electronics and Telecommunications,Bachelor,https://cost.uc.edu.kh/ucs-Service-5-12,Identity Collected,Current First-Party Degree Offering Verified,University of Cambodia current College of Science and Technology page lists Electronics and Telecommunications among its degree offerings.
prog_kh_043,uni_kh_015,1,Accounting,Accounting,Bachelor,https://enrollment.bbu.edu.kh/Home/About,Identity Collected,Current First-Party Bachelor Field Verified,Current BBU enrollment site identifies Accounting under Faculty of Business Management within its Associate and Bachelor education structure. Exact field name is preserved; no unsupported award title is fabricated.
prog_kh_044,uni_kh_015,2,Network Design and Programming,Network Design and Programming,Bachelor,https://enrollment.bbu.edu.kh/Home/About,Identity Collected,Current First-Party Bachelor Field Verified,Current BBU enrollment site identifies Network Design and Programming under Faculty of Sciences and Technology within its Bachelor education structure.
prog_kh_045,uni_kh_015,3,Public Law,Public Law,Bachelor,https://enrollment.bbu.edu.kh/Home/About,Identity Collected,Current First-Party Bachelor Field Verified,Current BBU enrollment site identifies Public Law under Faculty of Law and Social Sciences within its Associate/Bachelor education structure. Exact field name is preserved.
