country_id,university_id,university_name,city,official_website,program_slot,program_name,degree_level,official_program_url,collection_status,verification_status,research_notes
country_sg,uni_sg_001,National University of Singapore,Singapore,http://www.nus.edu.sg/,1,,,,Pending Collection,Not Verified,
country_sg,uni_sg_001,National University of Singapore,Singapore,http://www.nus.edu.sg/,2,,,,Pending Collection,Not Verified,
country_sg,uni_sg_001,National University of Singapore,Singapore,http://www.nus.edu.sg/,3,,,,Pending Collection,Not Verified,
country_sg,uni_sg_002,Nanyang Technological University,Singapore,https://www.ntu.edu.sg,1,,,,Pending Collection,Not Verified,
country_sg,uni_sg_002,Nanyang Technological University,Singapore,https://www.ntu.edu.sg,2,,,,Pending Collection,Not Verified,
country_sg,uni_sg_002,Nanyang Technological University,Singapore,https://www.ntu.edu.sg,3,,,,Pending Collection,Not Verified,
country_sg,uni_sg_003,Singapore Management University,Singapore,https://www.smu.edu.sg,1,,,,Pending Collection,Not Verified,
country_sg,uni_sg_003,Singapore Management University,Singapore,https://www.smu.edu.sg,2,,,,Pending Collection,Not Verified,
country_sg,uni_sg_003,Singapore Management University,Singapore,https://www.smu.edu.sg,3,,,,Pending Collection,Not Verified,
country_sg,uni_sg_004,Singapore University of Technology and Design,Singapore,https://www.sutd.edu.sg,1,,,,Pending Collection,Not Verified,
country_sg,uni_sg_004,Singapore University of Technology and Design,Singapore,https://www.sutd.edu.sg,2,,,,Pending Collection,Not Verified,
country_sg,uni_sg_004,Singapore University of Technology and Design,Singapore,https://www.sutd.edu.sg,3,,,,Pending Collection,Not Verified,
country_sg,uni_sg_005,Singapore Institute of Technology,Singapore,https://www.singaporetech.edu.sg/,1,,,,Pending Collection,Not Verified,
country_sg,uni_sg_005,Singapore Institute of Technology,Singapore,https://www.singaporetech.edu.sg/,2,,,,Pending Collection,Not Verified,
country_sg,uni_sg_005,Singapore Institute of Technology,Singapore,https://www.singaporetech.edu.sg/,3,,,,Pending Collection,Not Verified,
country_sg,uni_sg_006,Singapore University of Social Sciences,Singapore,https://www.suss.edu.sg,1,,,,Pending Collection,Not Verified,
country_sg,uni_sg_006,Singapore University of Social Sciences,Singapore,https://www.suss.edu.sg,2,,,,Pending Collection,Not Verified,
country_sg,uni_sg_006,Singapore University of Social Sciences,Singapore,https://www.suss.edu.sg,3,,,,Pending Collection,Not Verified,
