program_id,university_id,program_slot,program_name,field_of_study,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_mm_016,uni_mm_006,1,Bachelor of Arts in English,English,Bachelor,https://www.yufl.edu.mm/ad-undergraduate/,Identity Collected,First-Party Programme Verified,YUFL official undergraduate page explicitly lists English (BA) with First Year through Fourth Year curriculum.
prog_mm_017,uni_mm_006,2,Bachelor of Arts in Chinese,Chinese,Bachelor,https://www.yufl.edu.mm/ad-undergraduate/,Identity Collected,First-Party Programme Verified,YUFL official undergraduate page explicitly lists Chinese (BA) with four academic years.
prog_mm_018,uni_mm_006,3,Master of Arts in English as a Foreign Language,English as a Foreign Language,Master,https://www.yufl.edu.mm/english-department/,Identity Collected,First-Party Programme Verified,YUFL English Department explicitly states that the M.A. (EFL) course is offered by the department.
prog_mm_019,uni_mm_007,1,Bachelor of Arts in English,English,Bachelor,https://www.mufl.edu.mm/academic/programmes/regular-programmes.html,Identity Collected,First-Party Programme Verified,MUFL official Regular Programmes page lists English among its four-year B.A. undergraduate programmes.
prog_mm_020,uni_mm_007,2,Bachelor of Arts in Japanese,Japanese,Bachelor,https://www.mufl.edu.mm/academic/programmes/regular-programmes.html,Identity Collected,First-Party Programme Verified,MUFL official Regular Programmes page lists Japanese among its four-year B.A. undergraduate programmes.
prog_mm_021,uni_mm_007,3,Master of Arts in English,English,Master,https://www.mufl.edu.mm/academic/programmes/regular-programmes.html,Identity Collected,First-Party Programme Verified,MUFL official Regular Programmes page lists English among its two-year M.A. programmes.
prog_mm_022,uni_mm_008,1,Bachelor of Education (Five-year Course),Education,Bachelor,https://www.yuoe.edu.mm/academic/,Identity Collected,Current First-Party Programme Verified,YUOE current Academic page explicitly lists the B.Ed. Five-year Course as on-campus pre-service teacher training.
prog_mm_023,uni_mm_008,2,Master of Education (Two-year Course),Education,Master,https://www.yuoe.edu.mm/academic/,Identity Collected,Current First-Party Programme Verified,YUOE current Academic page explicitly lists M.Ed Two-year Course with two semesters in each academic year.
prog_mm_024,uni_mm_008,3,Diploma in Early Childhood Care and Development,Early Childhood Care and Development,Diploma,https://www.yuoe.edu.mm/academic/,Identity Collected,Current First-Party Programme Verified,"YUOE current Academic page lists Diploma in ECCD and states a nine-month, three-semester structure."
prog_mm_025,uni_mm_009,1,Bachelor of Arts in English,English,Bachelor,https://www.pathein-u.edu.mm/department-of-english/,Identity Collected,First-Party Department Programme Verified,Pathein University Department of English explicitly lists BA (English) among Degrees Available for Day Students.
prog_mm_026,uni_mm_009,2,Bachelor of Arts in Geography,Geography,Bachelor,https://www.pathein-u.edu.mm/department-of-geography/,Identity Collected,First-Party Department Programme Verified,Pathein University Geography Department explicitly lists BA (Geography) as a day-student degree.
prog_mm_027,uni_mm_009,3,Bachelor of Laws (LLB),Law,Bachelor,https://www.pathein-u.edu.mm/department-of-law/,Identity Collected,First-Party Department Programme Verified,Pathein University Department of Law explicitly lists LLB (Law) for day students and provides its curriculum.
prog_mm_028,uni_mm_010,1,Bachelor of Economics in Economics,Economics,Bachelor,https://mue.edu.mm/academic-department/main/economics,Identity Collected,Current First-Party Programme Verified,MUE Economics Department explicitly lists B.Econ (Economics) as a four-year full-time course.
prog_mm_029,uni_mm_010,2,Master of Economics in Economics,Economics,Master,https://mue.edu.mm/academic-department/main/economics,Identity Collected,Current First-Party Programme Verified,MUE Economics Department explicitly lists M.Econ (Economics) as a two-year full-time programme.
prog_mm_030,uni_mm_010,3,Master of Public Administration,Public Administration,Master,https://mue.edu.mm/academic-department/main/economics,Identity Collected,Current First-Party Programme Verified,MUE Economics Department explicitly describes the Master of Public Administration as a three-year graduate degree programme.
