program_id,country_id,university_id,university_name,program_slot,program_name,degree_level,field_of_study,program_url,identity_verified_at,verification_status,research_notes
prog_my_046,country_my,uni_my_016,Universiti Tun Hussein Onn Malaysia,1,Bachelor of Computer Science (Information Security) with Honours,Bachelor,Information Security,https://fsktm.uthm.edu.my/?page_id=1336,2026-08-20,Verified,Current official UTHM FSKTM individual programme page; also listed for international students.
prog_my_047,country_my,uni_my_016,Universiti Tun Hussein Onn Malaysia,2,Bachelor of Computer Science (Software Engineering) with Honours,Bachelor,Software Engineering,https://fsktm.uthm.edu.my/?page_id=1364,2026-08-20,Verified,Current official UTHM FSKTM individual programme page.
prog_my_048,country_my,uni_my_016,Universiti Tun Hussein Onn Malaysia,3,Bachelor of Computer Science (Web Technology) with Honours,Bachelor,Web Technology,https://fsktm.uthm.edu.my/?page_id=1356,2026-08-20,Verified,Current official UTHM FSKTM individual programme page; international option listed.
prog_my_049,country_my,uni_my_017,Universiti Teknikal Malaysia Melaka,1,Bachelor of Computer Science (Computer Networking) with Honours,Bachelor,Computer Networking,https://www.utem.edu.my/en/undergraduate-int.html,2026-08-20,Verified,Verified on current official UTeM international undergraduate programme list.
prog_my_050,country_my,uni_my_017,Universiti Teknikal Malaysia Melaka,2,Bachelor of Computer Science (Software Development) with Honours,Bachelor,Software Development,https://www.utem.edu.my/en/undergraduate-int.html,2026-08-20,Verified,Verified on current official UTeM international undergraduate programme list.
prog_my_051,country_my,uni_my_017,Universiti Teknikal Malaysia Melaka,3,Bachelor of Computer Science (Artificial Intelligence) with Honours,Bachelor,Artificial Intelligence,https://www.utem.edu.my/en/undergraduate-int.html,2026-08-20,Verified,Current UTeM international programme listing under Faculty of Artificial Intelligence and Cyber Security.
prog_my_052,country_my,uni_my_018,Universiti Sains Islam Malaysia,1,Bachelor of Computer Science with Honours (Information Security and Assurance),Bachelor,Information Security and Assurance,https://admission.usim.edu.my/academic-programmes/?pid=32,2026-08-20,Verified,Current official USIM admissions programme page updated in August 2026.
prog_my_053,country_my,uni_my_018,Universiti Sains Islam Malaysia,2,Bachelor of Science with Honours (Actuarial Science and Risk Management),Bachelor,Actuarial Science and Risk Management,https://admission.usim.edu.my/academic-programmes/?pid=31,2026-08-20,Verified,Current official USIM admissions programme listing and detail page.
prog_my_054,country_my,uni_my_018,Universiti Sains Islam Malaysia,3,Bachelor of Science with Honours (Financial Mathematics),Bachelor,Financial Mathematics,https://admission.usim.edu.my/program-details/?pid=33,2026-08-20,Verified,Exact official USIM programme detail page; programme also present on current August 2026 academic listing.
prog_my_055,country_my,uni_my_019,Universiti Pendidikan Sultan Idris,1,Bachelor of Education (Information Technology) with Honours,Bachelor,Information Technology Education,https://meta.upsi.edu.my/bachelor-of-education-information-technology-with-honours/,2026-08-20,Verified,Current official UPSI Faculty of Computing and Meta-Technology programme page.
prog_my_056,country_my,uni_my_019,Universiti Pendidikan Sultan Idris,2,Bachelor of Software Engineering (Educational Software) with Honours,Bachelor,Educational Software Engineering,https://meta.upsi.edu.my/bachelor-of-software-engineering-educational-software-with-honours/,2026-08-20,Verified,Current official UPSI individual programme page.
prog_my_057,country_my,uni_my_019,Universiti Pendidikan Sultan Idris,3,Bachelor of Computer Science (Internet of Things Technology) with Honours,Bachelor,Internet of Things Technology,https://meta.upsi.edu.my/bachelor-of-computer-science-internet-of-things-technology-with-honours/,2026-08-20,Verified,Current official UPSI individual programme page with current programme structure.
prog_my_058,country_my,uni_my_020,Universiti Malaysia Terengganu,1,Bachelor of Computer Science (Software Engineering) with Honours,Bachelor,Software Engineering,https://fskm.umt.edu.my/?page_id=34174,2026-08-20,Verified,Current official UMT FSKM undergraduate programme listing; corroborated by 2025/26 guide and 2026 programme material.
prog_my_059,country_my,uni_my_020,Universiti Malaysia Terengganu,2,Bachelor of Computer Science with Maritime Informatics (Honours),Bachelor,Maritime Informatics,https://fskm.umt.edu.my/?page_id=34174,2026-08-20,Verified,Current official UMT Faculty of Computer Science and Mathematics undergraduate listing.
prog_my_060,country_my,uni_my_020,Universiti Malaysia Terengganu,3,Bachelor of Computer Science (Mobile Computing) with Honours,Bachelor,Mobile Computing,https://fskm.umt.edu.my/?page_id=34174,2026-08-20,Verified,Current official UMT FSKM undergraduate listing and current academic material.
