country_id,university_id,university_name,city,official_website,program_slot,program_name,degree_level,official_program_url,collection_status,verification_status,research_notes
country_la,uni_la_001,National University of Laos,Vientiane,https://www.nuol.edu.la/index.php/en/,1,,,,Pending Collection,Not Verified,
country_la,uni_la_001,National University of Laos,Vientiane,https://www.nuol.edu.la/index.php/en/,2,,,,Pending Collection,Not Verified,
country_la,uni_la_001,National University of Laos,Vientiane,https://www.nuol.edu.la/index.php/en/,3,,,,Pending Collection,Not Verified,
country_la,uni_la_002,Souphanouvong University,Luang Prabang,https://su.edu.la/,1,,,,Pending Collection,Not Verified,
country_la,uni_la_002,Souphanouvong University,Luang Prabang,https://su.edu.la/,2,,,,Pending Collection,Not Verified,
country_la,uni_la_002,Souphanouvong University,Luang Prabang,https://su.edu.la/,3,,,,Pending Collection,Not Verified,
country_la,uni_la_003,University of Health Sciences Laos,Vientiane,https://uhs.edu.la/,1,,,,Pending Collection,Not Verified,
country_la,uni_la_003,University of Health Sciences Laos,Vientiane,https://uhs.edu.la/,2,,,,Pending Collection,Not Verified,
country_la,uni_la_003,University of Health Sciences Laos,Vientiane,https://uhs.edu.la/,3,,,,Pending Collection,Not Verified,
country_la,uni_la_004,Savannakhet University,Kaysone Phomvihane,http://sku.edu.la/,1,,,,Pending Collection,Not Verified,
country_la,uni_la_004,Savannakhet University,Kaysone Phomvihane,http://sku.edu.la/,2,,,,Pending Collection,Not Verified,
country_la,uni_la_004,Savannakhet University,Kaysone Phomvihane,http://sku.edu.la/,3,,,,Pending Collection,Not Verified,
country_la,uni_la_005,Champasak University,Pakse,http://www.cu.edu.la/,1,,,,Pending Collection,Not Verified,
country_la,uni_la_005,Champasak University,Pakse,http://www.cu.edu.la/,2,,,,Pending Collection,Not Verified,
country_la,uni_la_005,Champasak University,Pakse,http://www.cu.edu.la/,3,,,,Pending Collection,Not Verified,
