program_id,country_id,university_id,university_name,program_slot,program_name,degree_level,field_of_study,program_url,identity_verified_at,verification_status,research_notes
prog_my_061,country_my,uni_my_021,Universiti Malaysia Pahang Al-Sultan Abdullah,1,Bachelor of Computer Science (Software Engineering) with Honours,Bachelor,Software Engineering,https://admission.umpsa.edu.my/undergraduate-study/computer/bachelor-of-computer-science-software-engineering-with-honours,2026-08-20,Verified,Verified on current official UMPSA individual undergraduate programme page.
prog_my_062,country_my,uni_my_021,Universiti Malaysia Pahang Al-Sultan Abdullah,2,Bachelor of Computer Science (Computer Systems & Networking) with Honours,Bachelor,Computer Systems and Networking,https://admission.umpsa.edu.my/undergraduate-study/computer/bachelor-of-computer-science-computer-systems-networking-with-honours,2026-08-20,Verified,Verified on current official UMPSA individual programme page.
prog_my_063,country_my,uni_my_021,Universiti Malaysia Pahang Al-Sultan Abdullah,3,Bachelor of Computer Science (Cyber Security) with Honours,Bachelor,Cyber Security,https://admission.umpsa.edu.my/undergraduate-study/computer/bachelor-of-cyber-security,2026-08-20,Verified,Verified on current official UMPSA Cyber Security programme page.
prog_my_064,country_my,uni_my_022,Universiti Malaysia Perlis,1,Bachelor in Data Science (Artificial Intelligence) With Honours,Bachelor,Data Science and Artificial Intelligence,https://fkc.unimap.edu.my/index.php/en/programmes/bachelor/data-science-ai,2026-08-20,Verified,Verified on current official UniMAP Faculty of Intelligent Computing programme page.
prog_my_065,country_my,uni_my_022,Universiti Malaysia Perlis,2,Bachelor of Computer Engineering with Honours,Bachelor,Computer Engineering,https://admission.unimap.edu.my/programme.php?id=UR6523002,2026-08-20,Verified,Verified on current official UniMAP individual admission programme page.
prog_my_066,country_my,uni_my_022,Universiti Malaysia Perlis,3,Bachelor of Environmental Engineering with Honours,Bachelor,Environmental Engineering,https://admission.unimap.edu.my/programme.php?id=UR6526002,2026-08-20,Verified,Verified on current official UniMAP individual programme page.
prog_my_067,country_my,uni_my_023,Universiti Sultan Zainal Abidin,1,Bachelor of Computer Science (Software Development) with Honours,Bachelor,Software Development,https://fik.unisza.edu.my/index.php?Itemid=736&id=78&lang=en&option=com_sppagebuilder&view=page,2026-08-20,Verified,Exact degree title verified on current official UniSZA Faculty of Informatics and Computing undergraduate page.
prog_my_068,country_my,uni_my_023,Universiti Sultan Zainal Abidin,2,Bachelor of Computer Science (Computer Network Security) With Honours,Bachelor,Computer Network Security,https://fik.unisza.edu.my/index.php?Itemid=736&id=78&lang=en&option=com_sppagebuilder&view=page,2026-08-20,Verified,Exact current degree identity verified on official UniSZA undergraduate listing.
prog_my_069,country_my,uni_my_023,Universiti Sultan Zainal Abidin,3,Bachelor of Computer Science (Internet Computing) With Honours,Bachelor,Internet Computing,https://fik.unisza.edu.my/index.php?Itemid=736&id=78&lang=en&option=com_sppagebuilder&view=page,2026-08-20,Verified,Exact degree identity verified on current official UniSZA programme listing.
prog_my_070,country_my,uni_my_024,Universiti Pertahanan Nasional Malaysia,1,Bachelor of Computer Science (Computer Systems Security),Bachelor,Computer Systems Security,https://www.upnm.edu.my/index.php/en/admission-en/academic-program/undergraduate,2026-08-20,Verified,Exact programme title verified on current official UPNM undergraduate page.
prog_my_071,country_my,uni_my_024,Universiti Pertahanan Nasional Malaysia,2,Bachelor of Computer Science (Artificial Intelligence) (Hons),Bachelor,Artificial Intelligence,https://www.upnm.edu.my/index.php/en/admission-en/academic-program/undergraduate,2026-08-20,Verified,Exact programme title verified on current official UPNM undergraduate page.
prog_my_072,country_my,uni_my_024,Universiti Pertahanan Nasional Malaysia,3,Bachelor of Computer Science (Hons),Bachelor,Computer Science,https://www.upnm.edu.my/index.php/en/admission-en/academic-program/undergraduate,2026-08-20,Verified,Exact current programme title verified on official UPNM undergraduate page.
prog_my_073,country_my,uni_my_025,Universiti Malaysia Kelantan,1,Bachelor of Information Technology with Honours,Bachelor,Information Technology,https://www.umk.edu.my/en/undergraduate-programme.html,2026-08-20,Verified,Current official UMK undergraduate listing; programme also has current FSDK entry-requirement material.
prog_my_074,country_my,uni_my_025,Universiti Malaysia Kelantan,2,Bachelor of Applied Science (Environmental Analytics) with Honours,Bachelor,Environmental Analytics,https://fsb.umk.edu.my/undergraduate.cfm,2026-08-20,Verified,"Exact degree title on current official UMK Faculty of Earth Science page, updated February 2026."
prog_my_075,country_my,uni_my_025,Universiti Malaysia Kelantan,3,Bachelor of Applied Science (Bioindustrial Technology) With Honours,Bachelor,Bioindustrial Technology,https://fbkt.umk.edu.my/undergraduate.cfm,2026-08-20,Verified,"Exact degree title verified on current official UMK Faculty of Bioengineering and Technology page, updated January 2026."
