program_id,university_id,program_slot,program_name,field_of_study,degree_level,official_source_url,collection_status,verification_status,research_notes
prog_kh_016,uni_kh_006,1,Bachelor of Laws (National Program),Law,Bachelor,https://rule.edu.kh/wp-content/uploads/2024/08/University-Prospectus-2024-Small.pdf,Identity Collected,Official Prospectus Verified,RULE official 2024 university prospectus explicitly lists Bachelor of Laws (National Program).
prog_kh_017,uni_kh_006,2,English Language-Based Bachelor of Law,Law,Bachelor,https://elbbl.rule.edu.kh/en/admission-elbbl/,Identity Collected,Current First-Party Admission Verified,Current RULE ELBBL admission page identifies ELBBL as a Bachelor of Law (LL.B.) programme.
prog_kh_018,uni_kh_006,3,English Language-Based Master of Law,Law,Master,https://elbbl.rule.edu.kh/en/elbml/,Identity Collected,Current First-Party Admission Verified,Current RULE ELBML page confirms the English Language-Based Master of Law programme and current admissions.
prog_kh_019,uni_kh_007,1,Bachelor of Business Administration,Business Administration,Bachelor,https://nubb.edu.kh/en/bachelor-degree/,Identity Collected,Current First-Party Programme Verified,NUBB official Bachelor Degree page lists Bachelor of Business Administration as a four-year programme.
prog_kh_020,uni_kh_007,2,Bachelor of Information Technology,Information Technology,Bachelor,https://nubb.edu.kh/en/bachelor-degree/,Identity Collected,Current First-Party Programme Verified,NUBB official Bachelor Degree page lists Bachelor of Information Technology under Science and Technology.
prog_kh_021,uni_kh_007,3,Bachelor of Civil Engineering,Civil Engineering,Bachelor,https://nubb.edu.kh/en/bachelor-degree/,Identity Collected,Current First-Party Programme Verified,NUBB official Bachelor Degree page lists Bachelor of Civil Engineering and describes its five-year curriculum.
prog_kh_022,uni_kh_008,1,Bachelor of Science in Mechanical Engineering with Industrial Engineering,Mechanical and Industrial Engineering,Bachelor,https://sru.edu.kh/me_eae/,Identity Collected,Current First-Party Programme Verified,Current SRU programme page explicitly identifies the Bachelor of Science in Mechanical Engineering with Industrial Engineering.
prog_kh_023,uni_kh_008,2,Bachelor of Science in Agronomy,Agronomy,Bachelor,https://archive.sru.edu.kh/?article=166&lg=en&menu1=166&page=detail,Identity Collected,Official First-Party Archive Verified,"SRU official archive explicitly states the Faculty of Agriculture offers a Bachelor of Science in Agronomy. Identity is verified, but current programme freshness requires separate review."
prog_kh_024,uni_kh_008,3,Bachelor of Science in Rural Development,Rural Development,Bachelor,https://archive.sru.edu.kh/?article=166&lg=en&menu1=166&page=detail,Identity Collected,Official First-Party Archive Verified,"SRU official archive explicitly states the Faculty of Agriculture offers a Bachelor of Science in Rural Development. Identity is verified, but current programme freshness requires separate review."
prog_kh_025,uni_kh_009,1,Bachelor of Science in Computer Science,Computer Science,Bachelor,https://www.nuck.edu.kh/public/Faculty_of_Science_and_Mathematics/information-technology/?lang=en,Identity Collected,Current Successor First-Party Verified,NUCK current official site confirms the Bachelor of Science in Computer Science. NUCK official history documents the institutional renaming/succession. Frozen EduPath university parent uni_kh_009 is not modified in this step.
prog_kh_026,uni_kh_009,2,Bachelor of Public Administration,Public Administration,Bachelor,https://nuck.edu.kh/public/Faculty_of_social_science/Public_Administrations/?lang=en,Identity Collected,Current Successor First-Party Verified,Current NUCK official programme page explicitly identifies Bachelor of Public Administration.
prog_kh_027,uni_kh_009,3,Bachelor of Laws,Law,Bachelor,https://nuck.edu.kh/public/Faculty_of_social_science/Law/,Identity Collected,Current Successor First-Party Verified,Current NUCK official Law page explicitly identifies the Bachelor of Laws programme.
