program_id,country_id,university_id,university_name,program_slot,program_name,degree_level,field_of_study,program_url,identity_verified_at,verification_status,research_notes
prog_my_001,country_my,uni_my_001,Universiti Malaya,1,Bachelor of Computer Science (Software Engineering),Bachelor,Software Engineering,https://study.um.edu.my/bachelor-of-computer-science-software-engineering,2026-08-20,Verified,Current official Universiti Malaya programme page.
prog_my_002,country_my,uni_my_001,Universiti Malaya,2,Bachelor of Computer Science (Computer System and Network),Bachelor,Computer System and Network,https://study.um.edu.my/bachelor-of-computer-science-computer-system-and-network,2026-08-20,Verified,Current official Universiti Malaya programme page.
prog_my_003,country_my,uni_my_001,Universiti Malaya,3,Bachelor of Computer Science (Data Science),Bachelor,Data Science,https://study.um.edu.my/bachelor-of-computer-science-data-science,2026-08-20,Verified,Current official Universiti Malaya programme page.
prog_my_004,country_my,uni_my_002,Universiti Kebangsaan Malaysia,1,Bachelor of Computer Science with Honours,Bachelor,Computer Science,https://www.ukm.my/studyukm/computer-science-bachelors-hons/,2026-08-20,Verified,Current official UKM programme listing and StudyUKM programme page.
prog_my_005,country_my,uni_my_002,Universiti Kebangsaan Malaysia,2,Bachelor of Information Technology with Honours,Bachelor,Information Technology,https://www.ukm.my/studyukm/bachelor-of-information-technology-with-honours/,2026-08-20,Verified,Current official UKM programme listing and StudyUKM programme page.
prog_my_006,country_my,uni_my_002,Universiti Kebangsaan Malaysia,3,Bachelor of Software Engineering with Honours (Information System Development),Bachelor,Software Engineering,https://www.ukm.my/studyukm/bachelor-of-software-engineering-with-honours-information-system-development/,2026-08-20,Verified,Current official UKM programme listing and StudyUKM programme page.
prog_my_007,country_my,uni_my_003,Universiti Putra Malaysia,1,Bachelor in Computer Science with Honours,Bachelor,Computer Science,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,Verified,"Official UPM FSKTM programme-of-study page, updated 2026."
prog_my_008,country_my,uni_my_003,Universiti Putra Malaysia,2,Bachelor in Computer Science (Multimedia Computing) with Honours,Bachelor,Multimedia Computing,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,Verified,"Official UPM FSKTM programme-of-study page, updated 2026."
prog_my_009,country_my,uni_my_003,Universiti Putra Malaysia,3,Bachelor in Software Engineering with Honours,Bachelor,Software Engineering,https://fsktm.upm.edu.my/academic/undergraduate/programme_of_study-382,2026-08-20,Verified,"Official UPM FSKTM programme-of-study page, updated 2026."
prog_my_010,country_my,uni_my_004,Universiti Sains Malaysia,1,Bachelor of Software Engineering with Honours,Bachelor,Software Engineering,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-software-engineering-with-honours,2026-08-20,Verified,Current official USM School of Computer Sciences main-campus programme page.
prog_my_011,country_my,uni_my_004,Universiti Sains Malaysia,2,Bachelor of Computer Science (Intelligent Computing) with Honours,Bachelor,Intelligent Computing,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-computer-science-intelligent-computing-with-honours,2026-08-20,Verified,Current official USM School of Computer Sciences main-campus programme page.
prog_my_012,country_my,uni_my_004,Universiti Sains Malaysia,3,Bachelor of Computer Science (Computing Infrastructure) with Honours,Bachelor,Computing Infrastructure,https://cs.usm.my/index.php/admissions-academics/undergraduate/main-campus/bachelor-of-computer-science-computing-infrastructure-with-honours,2026-08-20,Verified,Current official USM School of Computer Sciences main-campus programme page.
prog_my_013,country_my,uni_my_005,Universiti Teknologi Malaysia,1,Bachelor in Software Engineering with Honours,Bachelor,Software Engineering,https://admission.utm.my/offered-allcourses-malaysian/,2026-08-20,Verified,Official UTM current course listing and September 2026 intake source.
prog_my_014,country_my,uni_my_005,Universiti Teknologi Malaysia,2,Bachelor of Computer Science (Computer Networks and Security) with Honours,Bachelor,Computer Networks and Security,https://admission.utm.my/offered-allcourses-malaysian/,2026-08-20,Verified,Official UTM current course listing and September 2026 intake source.
prog_my_015,country_my,uni_my_005,Universiti Teknologi Malaysia,3,Bachelor of Computer Science (Graphics and Multimedia Software) with Honours,Bachelor,Graphics and Multimedia Software,https://admission.utm.my/offered-allcourses-malaysian/,2026-08-20,Verified,Official UTM current course listing and September 2026 intake source.
