country_id,university_id,university_name,city,official_website,university_source_url,program_slot,program_name,degree_level,field_of_study,official_program_url,collection_status,verification_status,research_notes
country_kh,uni_kh_001,Royal University of Phnom Penh,Phnom Penh,https://www.rupp.edu.kh/,https://www.rupp.edu.kh/contact,1,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_001,Royal University of Phnom Penh,Phnom Penh,https://www.rupp.edu.kh/,https://www.rupp.edu.kh/contact,2,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_001,Royal University of Phnom Penh,Phnom Penh,https://www.rupp.edu.kh/,https://www.rupp.edu.kh/contact,3,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_002,Institute of Technology of Cambodia,Phnom Penh,https://itc.edu.kh/,https://itc.edu.kh/about-institute-of-technology-of-cambodia-en/,1,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_002,Institute of Technology of Cambodia,Phnom Penh,https://itc.edu.kh/,https://itc.edu.kh/about-institute-of-technology-of-cambodia-en/,2,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_002,Institute of Technology of Cambodia,Phnom Penh,https://itc.edu.kh/,https://itc.edu.kh/about-institute-of-technology-of-cambodia-en/,3,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_003,Royal University of Agriculture,Phnom Penh,https://www.rua.edu.kh/,https://www.rua.edu.kh/,1,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_003,Royal University of Agriculture,Phnom Penh,https://www.rua.edu.kh/,https://www.rua.edu.kh/,2,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_003,Royal University of Agriculture,Phnom Penh,https://www.rua.edu.kh/,https://www.rua.edu.kh/,3,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_004,University of Health Sciences Cambodia,Phnom Penh,https://uhs.edu.kh/,https://uhs.edu.kh/,1,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_004,University of Health Sciences Cambodia,Phnom Penh,https://uhs.edu.kh/,https://uhs.edu.kh/,2,,,,,Pending Collection,Not Verified,
country_kh,uni_kh_004,University of Health Sciences Cambodia,Phnom Penh,https://uhs.edu.kh/,https://uhs.edu.kh/,3,,,,,Pending Collection,Not Verified,
