program_id,country_id,university_id,university_name,program_slot,program_name,degree_level,field_of_study,program_url,identity_verified_at,verification_status,research_notes
prog_my_076,country_my,uni_my_026,Universiti Tenaga Nasional,1,Bachelor in Computer Science (Artificial Intelligence) (Honours),Bachelor,Artificial Intelligence,https://uniten.edu.my/college-of-computing-informatics/programmes/,2026-08-20,Verified,Current official UNITEN College of Computing & Informatics programme listing; also present in 2026 undergraduate material.
prog_my_077,country_my,uni_my_026,Universiti Tenaga Nasional,2,Bachelor in Computer Science (Cyber Security) (Honours),Bachelor,Cyber Security,https://www.uniten.edu.my/programme/undergraduate/bachelor-in-computer-science-cyber-security-honours/,2026-08-20,Verified,Verified on current official UNITEN individual Cyber Security programme page.
prog_my_078,country_my,uni_my_026,Universiti Tenaga Nasional,3,Bachelor in Software Engineering (Honours),Bachelor,Software Engineering,https://uniten.edu.my/college-of-computing-informatics/programmes/,2026-08-20,Verified,Current official UNITEN computing programme listing and 2026 brochure.
prog_my_079,country_my,uni_my_027,INCEIF University,1,Masters in Islamic Finance Practice (MIFP),Master,Islamic Finance,https://inceif.edu.my/study-inceif-university/master-programmes/,2026-08-20,Verified,Verified on current official INCEIF Master Programmes listing.
prog_my_080,country_my,uni_my_027,INCEIF University,2,Master of Science in Islamic Finance (MSc),Master,Islamic Finance,https://inceif.edu.my/study-inceif-university/master-programmes/masters-of-science-in-islamic-finance-by-coursework-msc/,2026-08-20,Verified,Current official INCEIF MSc programme page with 2026 and 2027 intake deadlines.
prog_my_081,country_my,uni_my_027,INCEIF University,3,Master in Business Administration (Sustainable Business) (MBA),Master,Sustainable Business,https://inceif.edu.my/study-inceif-university/master-programmes/,2026-08-20,Verified,Exact degree identity verified on current official INCEIF Master Programmes listing.
prog_my_082,country_my,uni_my_028,Universiti Tunku Abdul Rahman,1,Bachelor of Computer Science (Honours),Bachelor,Computer Science,https://admission.utar.edu.my/documents/MER-B-ICT.pdf,2026-08-20,Verified,Exact programme identity verified from current official UTAR ICT entry-requirement material.
prog_my_083,country_my,uni_my_028,Universiti Tunku Abdul Rahman,2,Bachelor of Software Engineering (Honours),Bachelor,Software Engineering,https://admission.utar.edu.my/documents/MER-B-ICT.pdf,2026-08-20,Verified,Current official UTAR admissions material lists the programme under Information and Communication Technology.
prog_my_084,country_my,uni_my_028,Universiti Tunku Abdul Rahman,3,Bachelor of Information Technology (Honours) (Communications and Networking),Bachelor,Communications and Networking,https://fict.utar.edu.my/Timetable.php,2026-08-20,Verified,Verified on official UTAR FICT June 2026 timetable/masterlist and current admissions material.
prog_my_085,country_my,uni_my_029,Monash University Malaysia,1,Bachelor of Computer Science,Bachelor,Computer Science,https://www.monash.edu.my/study/undergraduate/information-technology/bachelor-computer-science,2026-08-20,Verified,Current official Monash Malaysia programme page with 2026 course fees.
prog_my_086,country_my,uni_my_029,Monash University Malaysia,2,Bachelor of Computer Science in Data Science,Bachelor,Data Science,https://www.monash.edu.my/IT/future-students/future-students/our-undergraduate-courses,2026-08-20,Verified,Official Monash Malaysia School of IT lists this as a distinct current degree.
prog_my_087,country_my,uni_my_029,Monash University Malaysia,3,Bachelor of Computer Science in Artificial Intelligence,Bachelor,Artificial Intelligence,https://www.monash.edu.my/IT/future-students/future-students/our-undergraduate-courses,2026-08-20,Verified,Official Monash Malaysia School of IT explicitly identifies this as a separate current programme.
prog_my_088,country_my,uni_my_030,University of Nottingham Malaysia,1,BSc (Hons) Computer Science,Bachelor,Computer Science,https://www.nottingham.edu.my/ugstudy/course/computer-science-bsc-hons,2026-08-20,Verified,Current official University of Nottingham Malaysia course page for 2026 entry.
prog_my_089,country_my,uni_my_030,University of Nottingham Malaysia,2,BSc (Hons) Computer Science with Artificial Intelligence,Bachelor,Computer Science and Artificial Intelligence,https://www.nottingham.edu.my/ugstudy/course/computer-science-with-artificial-intelligence-bsc-hons,2026-08-20,Verified,Current official Nottingham Malaysia individual programme page for 2026 entry.
prog_my_090,country_my,uni_my_030,University of Nottingham Malaysia,3,BSc (Hons) in Mathematics and Data Science,Bachelor,Mathematics and Data Science,https://www.nottingham.edu.my/ugstudy/course/mathematics-and-data-science-bsc-hons,2026-08-20,Verified,Current official Nottingham Malaysia individual undergraduate programme page.
