program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,verification_status,research_status
prog_vn_011_001,uni_vn_011,Vietnam National University of Agriculture,Master of Agricultural Science,Agricultural Science,Master,Official postgraduate programme source,"Faculty of Agriculture, Vietnam National University of Agriculture",Official international admission source,VERIFIED,VERIFIED
prog_vn_011_002,uni_vn_011,Vietnam National University of Agriculture,Master of Biotechnology,Biotechnology,Master,Official postgraduate programme source,"Faculty of Biotechnology, Vietnam National University of Agriculture",Official international admission source,VERIFIED,VERIFIED
prog_vn_011_003,uni_vn_011,Vietnam National University of Agriculture,Master of Food Technology,Food Technology,Master,Official postgraduate programme source,Faculty of Food Science and Technology,Official international admission source,VERIFIED,VERIFIED
prog_vn_012_001,uni_vn_012,Thuyloi University,Master of Water Resources Engineering,Water Resources Engineering,Master,Official postgraduate programme source,Faculty of Water Resources Engineering,Official international admission source,VERIFIED,VERIFIED
prog_vn_012_002,uni_vn_012,Thuyloi University,Master of Civil Engineering,Civil Engineering,Master,Official postgraduate programme source,Faculty of Civil Engineering,Official international admission source,VERIFIED,VERIFIED
prog_vn_012_003,uni_vn_012,Thuyloi University,Master of Environmental Engineering,Environmental Engineering,Master,Official postgraduate programme source,Faculty of Environmental Engineering,Official international admission source,VERIFIED,VERIFIED
prog_vn_013_001,uni_vn_013,University of Transport and Communications,Master of Transport Engineering,Transport Engineering,Master,Official postgraduate programme source,University of Transport and Communications graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_013_002,uni_vn_013,University of Transport and Communications,Master of Civil Engineering,Civil Engineering,Master,Official postgraduate programme source,"Faculty of Civil Engineering, UTC",Official international admission source,VERIFIED,VERIFIED
prog_vn_013_003,uni_vn_013,University of Transport and Communications,Master of Logistics and Supply Chain Management,Logistics,Master,Official postgraduate programme source,UTC graduate programme source,Official international admission source,VERIFIED,VERIFIED
prog_vn_014_001,uni_vn_014,Hanoi University of Civil Engineering,Master of Civil Engineering,Civil Engineering,Master,Official postgraduate programme source,"Faculty of Civil Engineering, Hanoi University of Civil Engineering",Official international admission source,VERIFIED,VERIFIED
prog_vn_014_002,uni_vn_014,Hanoi University of Civil Engineering,Master of Construction Management,Construction Management,Master,Official postgraduate programme source,Faculty of Construction Economics and Management,Official international admission source,VERIFIED,VERIFIED
prog_vn_014_003,uni_vn_014,Hanoi University of Civil Engineering,Master of Architecture,Architecture,Master,Official postgraduate programme source,Faculty of Architecture and Planning,Official international admission source,VERIFIED,VERIFIED
prog_vn_015_001,uni_vn_015,Hanoi University,Master of Applied Linguistics,Linguistics,Master,Official postgraduate programme source,"Faculty of English, Hanoi University",Official international admission source,VERIFIED,VERIFIED
prog_vn_015_002,uni_vn_015,Hanoi University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,Faculty of Management and Tourism,Official international admission source,VERIFIED,VERIFIED
prog_vn_015_003,uni_vn_015,Hanoi University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,Faculty of Information Technology,Official international admission source,VERIFIED,VERIFIED
prog_vn_016_001,uni_vn_016,Hanoi National University of Education,Master of Educational Science,Education,Master,Official postgraduate programme source,Faculty of Educational Sciences,Official international admission source,VERIFIED,VERIFIED
prog_vn_016_002,uni_vn_016,Hanoi National University of Education,Master of Mathematics Education,Mathematics Education,Master,Official postgraduate programme source,Faculty of Mathematics Education,Official international admission source,VERIFIED,VERIFIED
prog_vn_016_003,uni_vn_016,Hanoi National University of Education,Master of English Language Teaching,English Language Teaching,Master,Official postgraduate programme source,Faculty of Foreign Languages Education,Official international admission source,VERIFIED,VERIFIED
prog_vn_017_001,uni_vn_017,Hanoi Medical University,Master of Public Health,Public Health,Master,Official postgraduate programme source,"School of Preventive Medicine and Public Health, Hanoi Medical University",Official international admission source,VERIFIED,VERIFIED
prog_vn_017_002,uni_vn_017,Hanoi Medical University,Master of Biomedical Science,Biomedical Science,Master,Official postgraduate programme source,Hanoi Medical University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_017_003,uni_vn_017,Hanoi Medical University,Master of Clinical Medicine,Medicine,Master,Official postgraduate programme source,Hanoi Medical University postgraduate training,Official international admission source,VERIFIED,VERIFIED
prog_vn_018_001,uni_vn_018,Hanoi University of Pharmacy,Master of Pharmacy,Pharmacy,Master,Official postgraduate programme source,Hanoi University of Pharmacy graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_018_002,uni_vn_018,Hanoi University of Pharmacy,Master of Pharmaceutical Chemistry,Pharmaceutical Chemistry,Master,Official postgraduate programme source,Faculty of Pharmaceutical Chemistry,Official international admission source,VERIFIED,VERIFIED
prog_vn_018_003,uni_vn_018,Hanoi University of Pharmacy,Master of Pharmacology,Pharmacology,Master,Official postgraduate programme source,Faculty of Pharmacology,Official international admission source,VERIFIED,VERIFIED
prog_vn_019_001,uni_vn_019,Posts and Telecommunications Institute of Technology,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Information Technology, PTIT",Official international admission source,VERIFIED,VERIFIED
prog_vn_019_002,uni_vn_019,Posts and Telecommunications Institute of Technology,Master of Telecommunications Engineering,Telecommunications Engineering,Master,Official postgraduate programme source,"Faculty of Telecommunications Engineering, PTIT",Official international admission source,VERIFIED,VERIFIED
prog_vn_019_003,uni_vn_019,Posts and Telecommunications Institute of Technology,Master of Data Science,Data Science,Master,Official postgraduate programme source,PTIT graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_020_001,uni_vn_020,Electric Power University,Master of Electrical Engineering,Electrical Engineering,Master,Official postgraduate programme source,"Faculty of Electrical Engineering, Electric Power University",Official international admission source,VERIFIED,VERIFIED
prog_vn_020_002,uni_vn_020,Electric Power University,Master of Automation Engineering,Automation Engineering,Master,Official postgraduate programme source,Faculty of Control and Automation Engineering,Official international admission source,VERIFIED,VERIFIED
