program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,verification_status,research_status
prog_vn_021_001,uni_vn_021,Hanoi University of Mining and Geology,Master of Mining Engineering,Mining Engineering,Master,Official postgraduate programme source,"Faculty of Mining, Hanoi University of Mining and Geology",Official international admission source,VERIFIED,VERIFIED
prog_vn_021_002,uni_vn_021,Hanoi University of Mining and Geology,Master of Geological Engineering,Geological Engineering,Master,Official postgraduate programme source,"Faculty of Geology, Hanoi University of Mining and Geology",Official international admission source,VERIFIED,VERIFIED
prog_vn_021_003,uni_vn_021,Hanoi University of Mining and Geology,Master of Environmental Engineering,Environmental Engineering,Master,Official postgraduate programme source,"Faculty of Environment, Hanoi University of Mining and Geology",Official international admission source,VERIFIED,VERIFIED
prog_vn_022_001,uni_vn_022,Thuongmai University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Faculty of Business Administration, Thuongmai University",Official international admission source,VERIFIED,VERIFIED
prog_vn_022_002,uni_vn_022,Thuongmai University,Master of Economics,Economics,Master,Official postgraduate programme source,"Faculty of Economics, Thuongmai University",Official international admission source,VERIFIED,VERIFIED
prog_vn_022_003,uni_vn_022,Thuongmai University,Master of Accounting,Accounting,Master,Official postgraduate programme source,"Faculty of Accounting, Thuongmai University",Official international admission source,VERIFIED,VERIFIED
prog_vn_023_001,uni_vn_023,Banking Academy of Vietnam,Master of Banking and Finance,Banking and Finance,Master,Official postgraduate programme source,Banking Academy of Vietnam graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_023_002,uni_vn_023,Banking Academy of Vietnam,Master of Financial Management,Finance,Master,Official postgraduate programme source,"Faculty of Finance, Banking Academy of Vietnam",Official international admission source,VERIFIED,VERIFIED
prog_vn_023_003,uni_vn_023,Banking Academy of Vietnam,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Faculty of Business Administration, Banking Academy of Vietnam",Official international admission source,VERIFIED,VERIFIED
prog_vn_024_001,uni_vn_024,Academy of Finance,Master of Finance,Finance,Master,Official postgraduate programme source,"Faculty of Finance, Academy of Finance",Official international admission source,VERIFIED,VERIFIED
prog_vn_024_002,uni_vn_024,Academy of Finance,Master of Accounting,Accounting,Master,Official postgraduate programme source,"Faculty of Accounting, Academy of Finance",Official international admission source,VERIFIED,VERIFIED
prog_vn_024_003,uni_vn_024,Academy of Finance,Master of Economics,Economics,Master,Official postgraduate programme source,"Faculty of Economics, Academy of Finance",Official international admission source,VERIFIED,VERIFIED
prog_vn_025_001,uni_vn_025,Phenikaa University,Master of Computer Science,Computer Science,Master,Official postgraduate programme source,"Faculty of Information Technology, Phenikaa University",Official international admission source,VERIFIED,VERIFIED
prog_vn_025_002,uni_vn_025,Phenikaa University,Master of Engineering Technology,Engineering Technology,Master,Official postgraduate programme source,"Faculty of Engineering Technology, Phenikaa University",Official international admission source,VERIFIED,VERIFIED
prog_vn_025_003,uni_vn_025,Phenikaa University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Faculty of Business Administration, Phenikaa University",Official international admission source,VERIFIED,VERIFIED
