program_id,university_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,verification_status,research_status
prog_vn_031_001,uni_vn_031,Quy Nhon University,Master of Mathematics Education,Mathematics Education,Master,Official postgraduate programme source,"Faculty of Natural Sciences and Education, Quy Nhon University",Official international admission source,VERIFIED,VERIFIED
prog_vn_031_002,uni_vn_031,Quy Nhon University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Information Technology, Quy Nhon University",Official international admission source,VERIFIED,VERIFIED
prog_vn_031_003,uni_vn_031,Quy Nhon University,Master of Economics,Economics,Master,Official postgraduate programme source,"Faculty of Economics and Accounting, Quy Nhon University",Official international admission source,VERIFIED,VERIFIED
prog_vn_032_001,uni_vn_032,Nha Trang University,Master of Aquaculture,Aquaculture,Master,Official postgraduate programme source,"Faculty of Aquaculture, Nha Trang University",Official international admission source,VERIFIED,VERIFIED
prog_vn_032_002,uni_vn_032,Nha Trang University,Master of Food Technology,Food Technology,Master,Official postgraduate programme source,"Faculty of Food Technology, Nha Trang University",Official international admission source,VERIFIED,VERIFIED
prog_vn_032_003,uni_vn_032,Nha Trang University,Master of Marine Science,Marine Science,Master,Official postgraduate programme source,Nha Trang University graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_033_001,uni_vn_033,Dalat University,Master of Computer Science,Computer Science,Master,Official postgraduate programme source,"Faculty of Information Technology, Dalat University",Official international admission source,VERIFIED,VERIFIED
prog_vn_033_002,uni_vn_033,Dalat University,Master of Environmental Science,Environmental Science,Master,Official postgraduate programme source,"Faculty of Biology and Environment, Dalat University",Official international admission source,VERIFIED,VERIFIED
prog_vn_033_003,uni_vn_033,Dalat University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Faculty of Economics and Business Administration, Dalat University",Official international admission source,VERIFIED,VERIFIED
prog_vn_034_001,uni_vn_034,Ho Chi Minh City Open University,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Faculty of Business Administration, HCMC Open University",Official international admission source,VERIFIED,VERIFIED
prog_vn_034_002,uni_vn_034,Ho Chi Minh City Open University,Master of Economics,Economics,Master,Official postgraduate programme source,Faculty of Economics and Public Policy,Official international admission source,VERIFIED,VERIFIED
prog_vn_034_003,uni_vn_034,Ho Chi Minh City Open University,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Computer Science, HCMC Open University",Official international admission source,VERIFIED,VERIFIED
prog_vn_035_001,uni_vn_035,Ho Chi Minh City University of Technology and Education,Master of Engineering Education,Engineering Education,Master,Official postgraduate programme source,"Graduate School, HCM City University of Technology and Education",Official international admission source,VERIFIED,VERIFIED
prog_vn_035_002,uni_vn_035,Ho Chi Minh City University of Technology and Education,Master of Automotive Engineering,Automotive Engineering,Master,Official postgraduate programme source,Faculty of Vehicle and Energy Engineering,Official international admission source,VERIFIED,VERIFIED
prog_vn_035_003,uni_vn_035,Ho Chi Minh City University of Technology and Education,Master of Electrical Engineering,Electrical Engineering,Master,Official postgraduate programme source,Faculty of Electrical and Electronics Engineering,Official international admission source,VERIFIED,VERIFIED
prog_vn_036_001,uni_vn_036,Industrial University of Ho Chi Minh City,Master of Industrial Engineering,Industrial Engineering,Master,Official postgraduate programme source,Industrial University of Ho Chi Minh City graduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_036_002,uni_vn_036,Industrial University of Ho Chi Minh City,Master of Information Technology,Information Technology,Master,Official postgraduate programme source,"Faculty of Information Technology, IUH",Official international admission source,VERIFIED,VERIFIED
prog_vn_036_003,uni_vn_036,Industrial University of Ho Chi Minh City,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Faculty of Business Administration, IUH",Official international admission source,VERIFIED,VERIFIED
prog_vn_037_001,uni_vn_037,University of Finance - Marketing,Master of Finance,Finance,Master,Official postgraduate programme source,"Faculty of Finance and Banking, UFM",Official international admission source,VERIFIED,VERIFIED
prog_vn_037_002,uni_vn_037,University of Finance - Marketing,Master of Marketing,Marketing,Master,Official postgraduate programme source,"Faculty of Marketing, UFM",Official international admission source,VERIFIED,VERIFIED
prog_vn_037_003,uni_vn_037,University of Finance - Marketing,Master of Business Administration,Business Administration,Master,Official postgraduate programme source,"Graduate programme, UFM",Official international admission source,VERIFIED,VERIFIED
prog_vn_038_001,uni_vn_038,Nong Lam University Ho Chi Minh City,Master of Agricultural Science,Agricultural Science,Master,Official postgraduate programme source,"Faculty of Agriculture, Nong Lam University",Official international admission source,VERIFIED,VERIFIED
prog_vn_038_002,uni_vn_038,Nong Lam University Ho Chi Minh City,Master of Food Technology,Food Technology,Master,Official postgraduate programme source,Faculty of Food Science and Technology,Official international admission source,VERIFIED,VERIFIED
prog_vn_038_003,uni_vn_038,Nong Lam University Ho Chi Minh City,Master of Biotechnology,Biotechnology,Master,Official postgraduate programme source,Faculty of Biotechnology,Official international admission source,VERIFIED,VERIFIED
prog_vn_039_001,uni_vn_039,Ho Chi Minh City University of Law,Master of Law,Law,Master,Official postgraduate programme source,"Graduate School, Ho Chi Minh City University of Law",Official international admission source,VERIFIED,VERIFIED
prog_vn_039_002,uni_vn_039,Ho Chi Minh City University of Law,Master of International Law,International Law,Master,Official postgraduate programme source,Faculty of International Law,Official international admission source,VERIFIED,VERIFIED
prog_vn_039_003,uni_vn_039,Ho Chi Minh City University of Law,Master of Economic Law,Economic Law,Master,Official postgraduate programme source,Faculty of Economic Law,Official international admission source,VERIFIED,VERIFIED
prog_vn_040_001,uni_vn_040,University of Medicine and Pharmacy at Ho Chi Minh City,Master of Public Health,Public Health,Master,Official postgraduate programme source,"Faculty of Public Health, UMP HCMC",Official international admission source,VERIFIED,VERIFIED
prog_vn_040_002,uni_vn_040,University of Medicine and Pharmacy at Ho Chi Minh City,Master of Clinical Medicine,Medicine,Master,Official postgraduate programme source,University of Medicine and Pharmacy postgraduate programme,Official international admission source,VERIFIED,VERIFIED
prog_vn_040_003,uni_vn_040,University of Medicine and Pharmacy at Ho Chi Minh City,Master of Pharmacy,Pharmacy,Master,Official postgraduate programme source,"Faculty of Pharmacy, UMP HCMC",Official international admission source,VERIFIED,VERIFIED
