program_id,university_id,university_name,program_name,degree_level,programme_source_url,international_source_url,international_applicants_status,verified_fields,unresolved_fields,evidence_note,verified_at
prog_tw_031,uni_tw_011,Tamkang University,Business Administration (English-Taught Program),Bachelor,https://english.tku.edu.tw/InternationalPrograms.asp,https://adms.tku.edu.tw/Front/ForeignStudent/foreignstudentstku/admissionthefallclass/Page.aspx?id=3GJ0s4TB73E%3D,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current official international-program list identifies Business Administration as an English-taught Bachelor programme.,2026-08-22
prog_tw_032,uni_tw_011,Tamkang University,English (English-Taught Program),Bachelor,https://english.tku.edu.tw/InternationalPrograms.asp,https://adms.tku.edu.tw/Front/ForeignStudent/foreignstudentstku/admissionthefallclass/Page.aspx?id=3GJ0s4TB73E%3D,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Official department information states that major courses in this Bachelor programme are conducted in English.,2026-08-22
prog_tw_033,uni_tw_011,Tamkang University,International Tourism Management (English-Taught Program),Bachelor,https://english.tku.edu.tw/InternationalPrograms.asp,https://adms.tku.edu.tw/Front/ForeignStudent/foreignstudentstku/admissionthefallclass/Page.aspx?id=3GJ0s4TB73E%3D,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current official Tamkang programme information identifies International Tourism Management as English-taught.,2026-08-22
prog_tw_034,uni_tw_012,National Sun Yat-sen University,Electrical Engineering,Bachelor,https://web.ee.nsysu.edu.tw/p/412-1203-15218.php?Lang=zh-tw,https://admission.nsysu.edu.tw/Member/index,verified_yes,language_of_instruction; ielts_requirement; toefl_requirement,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,Current department admission page states Bachelor language of instruction is EMI/English-taught and requires IELTS 5.0 or TOEFL iBT 61 for non-native English applicants.,2026-08-22
prog_tw_035,uni_tw_012,National Sun Yat-sen University,Computer Science and Engineering,Bachelor,https://cse.nsysu.edu.tw/p/412-1205-16761.php?Lang=en,https://admission.nsysu.edu.tw/Member/index,verified_yes,language_of_instruction; ielts_requirement; toefl_requirement,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,"Current CSE page publishes undergraduate international English requirements of IELTS 6.5 / TOEFL iBT 61. It also requires Chinese evidence, so whole-programme language is not inferred from the English admission requirement.",2026-08-22
prog_tw_036,uni_tw_012,National Sun Yat-sen University,International Business Bachelor Program,Bachelor,https://ib.nsysu.edu.tw/,https://admission.nsysu.edu.tw/Member/index,verified_yes,language_of_instruction; ielts_requirement; toefl_requirement,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; intake; application_deadline,Current admission guide states that the programme provides sufficient English-taught core courses and requires IELTS 6.0 or TOEFL iBT 79. English Available is used rather than claiming every credit is English-taught.,2026-08-22
prog_tw_037,uni_tw_013,National Chung Cheng University,Accounting and Information Technology,Bachelor,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current official international-programme page states most Bachelor courses are taught in Chinese. CEFR-level entry requirements are not converted into IELTS/TOEFL numeric scores.,2026-08-22
prog_tw_038,uni_tw_013,National Chung Cheng University,Finance,Bachelor,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Current official CCU page states most courses in the Bachelor programme are taught in Chinese.,2026-08-22
prog_tw_039,uni_tw_013,National Chung Cheng University,Information Management,Bachelor,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,https://oia.ccu.edu.tw/p/412-1008-1828.php?Lang=en,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,The current official programme information states most courses are taught in Chinese. CEFR language requirements are preserved only as evidence and are not converted to unsupported IELTS/TOEFL scores.,2026-08-22
prog_tw_040,uni_tw_014,National Taiwan Ocean University,Food Science,Bachelor,https://academic.ntou.edu.tw/p/412-1005-3456.php?Lang=en,https://oia.ntou.edu.tw/p/412-1022-7231.php?Lang=en,verified_yes,language_of_instruction,duration_years; study_mode; tuition_fee; tuition_currency; tuition_period; minimum_gpa; gpa_scale; ielts_requirement; toefl_requirement; intake; application_deadline,Programme identity and international Bachelor eligibility are verified. Whole-programme MOI remains Unknown.,2026-08-22
