program_id,university_id,university_name,program_name,degree_level,programme_source_url,international_source_url,international_applicants_status,verified_fields,unresolved_fields,evidence_note,verified_at
prog_th_037,uni_th_013,Srinakharinwirot University,Language for Careers,Bachelor,https://cis.hu.swu.ac.th/Curriculum-Structure-LCI,https://en.bas.swu.ac.th/Portals/92/course/20250408-Application_for_Academic_for_Overseas_Students.pdf,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|duration_years,study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,SWU official Center for International Studies verifies the B.A. Language for Careers International Program. SWU provides an Overseas Students undergraduate application route.,2026-08-22
prog_th_038,uni_th_013,Srinakharinwirot University,Language for Communication,Bachelor,https://cg.hu.swu.ac.th/Curriculum-Structure-LCC,https://en.bas.swu.ac.th/Portals/92/course/20250408-Application_for_Academic_for_Overseas_Students.pdf,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,SWU official Center for International Studies verifies the B.A. Language for Communication International Program. SWU overseas admission procedures support international undergraduate applicants.,2026-08-22
prog_th_039,uni_th_013,Srinakharinwirot University,Global Business Management,Bachelor,https://en.bas.swu.ac.th/academics/international_students,https://en.bas.swu.ac.th/academics/international_students,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|ielts_requirement|toefl_requirement,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|intake|application_deadline,SWU BAS official page verifies the B.B.A. Global Business Management International Program and explicitly provides requirements for foreign applicants educated in non-Thai systems.,2026-08-22
prog_th_040,uni_th_014,Silpakorn University,International Hospitality Management,Bachelor,https://suic.su.ac.th/th/news/suic-intake-6-2026,https://suic.su.ac.th/th/news/suic-intake-6-2026,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,Silpakorn University International College official 2026 direct admission lists International Hospitality Management. Current application requirements accept passport identification and international-equivalent secondary qualifications.,2026-08-22
prog_th_041,uni_th_014,Silpakorn University,Business and Technology,Bachelor,https://suic.su.ac.th/th/news/suic-intake-6-2026,https://suic.su.ac.th/th/news/suic-intake-6-2026,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,Silpakorn University International College official 2026 direct admission lists Business and Technology. Current application requirements accept passport identification and international-equivalent secondary qualifications.,2026-08-22
prog_th_042,uni_th_014,Silpakorn University,Digital Communication Design,Bachelor,https://suic.su.ac.th/th/news/suic-intake-6-2026,https://suic.su.ac.th/th/news/suic-intake-6-2026,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,Silpakorn University International College official 2026 direct admission lists Digital Communication Design. Current application requirements accept passport identification and international-equivalent secondary qualifications.,2026-08-22
prog_th_043,uni_th_015,Naresuan University,International Business Management,Bachelor,https://www.nuic.nu.ac.th/wp-content/uploads/2025/03/ibmc2023.pdf,https://www.nuic.nu.ac.th/wp-content/uploads/2025/03/ibmc2023.pdf,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|language_of_instruction,duration_years|study_mode|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,"NUIC official curriculum verifies International Business Management. The curriculum states that NUIC undergraduate courses, including this programme, are taught in English in support of internationalization.",2026-08-22
prog_th_044,uni_th_015,Naresuan University,International Human Resource Management and Development,Bachelor,https://www.nuic.nu.ac.th/wp-content/uploads/2025/03/hrmc2023.pdf,https://www.nuic.nu.ac.th/wp-content/uploads/2025/03/hrmc2023.pdf,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status,duration_years|study_mode|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,Naresuan University International College official curriculum verifies the International Human Resource Management and Development programme. It is part of NUIC's international undergraduate provision.,2026-08-22
prog_th_045,uni_th_015,Naresuan University,English for Business Communication,Bachelor,https://www.nuic.nu.ac.th/wp-content/uploads/2025/06/EBC-Revised-Curriculum-2025.pdf,https://www.nuic.nu.ac.th/wp-content/uploads/2025/06/EBC-Revised-Curriculum-2025.pdf,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|language_of_instruction,duration_years|study_mode|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement|toefl_requirement|intake|application_deadline,"The official revised 2025 NUIC curriculum verifies English for Business Communication, states English as the programme language, and explicitly provides for Thai and foreign students.",2026-08-22
prog_th_046,uni_th_016,University of Phayao,Architecture,Bachelor,https://safa.up.ac.th/en/admissions/prospectus,https://safa.up.ac.th/en/faq,verified_yes,program_name|field_of_study|degree_level|program_url|international_applicants_status|duration_years|language_of_instruction|tuition_fee|tuition_currency|tuition_period|minimum_gpa|gpa_scale|ielts_requirement,study_mode|toefl_requirement|intake|application_deadline,University of Phayao SAFA official programme and FAQ pages verify the Architecture bachelor programme. SAFA explicitly states that international students may apply and that its programmes are taught in Thai.,2026-08-22
